380, 50.53191489361702, 7520
1800000, 0.04847534551150867, -0.03768719853016796, -0.04775630905138604
1820000, 0.059229405105883315, -0.09563621940878428, -0.021787368518583646
1840000, 0.05703529129494388, -0.14698743780979262, -0.006465852284607397
1860000, 0.03742301713640921, -0.15491492678755783, -0.0033334726155673632
1880000, 0.007406222075058466, -0.12046317585460005, -0.011270227186960345
1900000, -0.016281847768450108, -0.0815704721086237, -0.021695330073784925
1920000, -0.0289123267166135, -0.07503915523702731, -0.028848862859301546
1940000, -0.027048056386531596, -0.0934471225217781, -0.03191984162260607
1960000, -0.021506335939188666, -0.1000599015713924, -0.03559604687008039
1980000, -0.0209850095133567, -0.08086605452294345, -0.04161202371901217
2000000, -0.024416581583823586, -0.054622651658846194, -0.05203913449558119
2020000, -0.02021210232372386, -0.042960532414452156, -0.06282921563977834
2040000, -0.0030762238383034773, -0.03625815120103532, -0.06613267594977294
2060000, 0.009467268193297436, -0.011983883199195244, -0.06141151992263927
2080000, 0.004090875040156187, 0.01794139897335218, -0.05447915137064672
2100000, -0.010721620220499183, 0.027775796100680268, -0.046547131920873425
2120000, -0.029489108334607963, 0.017368357914918104, -0.03529847172403152
2140000, -0.03997771199412238, 0.018618433514680427, -0.012338621236883928
2160000, -0.03784397325835935, 0.041929821057786275, 0.012151591819627532
2180000, -0.026981590692913775, 0.07366260667755277, 0.028693810453436486
2200000, -0.009639037666750576, 0.11322591001728059, 0.044637895386586544
2220000, 0.0006689584384302311, 0.15034351123082781, 0.06090302543328714
2240000, 0.0028142873964440585, 0.1794525572302411, 0.0666971460691196
2260000, 0.007266785379066863, 0.1955038729941017, 0.05781891338802425
2280000, 0.02056926559197164, 0.19278138951077556, 0.04461396196278269
2300000, 0.02881454721416785, 0.18330118999038644, 0.03336152489709483
2320000, 0.03210888428942994, 0.18185706684843606, 0.024076573377816633
2340000, 0.030865809694882573, 0.18632578589520807, 0.008831377442814817
2360000, 0.031020794002412595, 0.18652391952292327, -0.011813376686518334
2380000, 0.04746966750937859, 0.180322394568104, -0.026177388852997426
2400000, 0.0578284224298474, 0.1802773039114508, -0.03370722831600667
2420000, 0.05498946362246925, 0.16979664319400212, -0.035705853500816405
2440000, 0.039085155188870874, 0.1555770289540572, -0.0327772846001315
2460000, 0.016716614527884654, 0.14210490673370174, -0.028245952835145735
2480000, 0.0020188782008458517, 0.12156690369265818, -0.019079088226292305
2500000, -0.002018370508408906, 0.0829081794936105, -0.005948445224661478
2520000, -0.004582091192569408, 0.04689378296941666, 0.005082263116244339
2540000, -0.009092541293118579, 0.030777986562308846, 0.016098526648289303
2560000, -0.016467712686302777, 0.03154954390542187, 0.028128303153561282
2580000, -0.024709407039459362, 0.034505323975698714, 0.0401152212946086
2600000, -0.030278666335109644, 0.03202725512358585, 0.0541646098781848
2620000, -0.0327831080303194, 0.031453705453478024, 0.06317496257895104
