380, 50.53191489361702, 7520
3320000, UnitQuaternion angle: 0.689882673289614 − axis: (-0.23105591568097728, 0.9004862776363713, 0.3684258780506833)
3340000, UnitQuaternion angle: 0.7145520852267955 − axis: (-0.20158700928537254, 0.9086250825451512, 0.365736431132033)
3360000, UnitQuaternion angle: 0.745835439680182 − axis: (-0.18227817485401945, 0.9127311549675532, 0.365645327774722)
3380000, UnitQuaternion angle: 0.7762018668261133 − axis: (-0.16105347508853343, 0.9153514983749896, 0.3690439168778813)
3400000, UnitQuaternion angle: 0.8153997685257159 − axis: (-0.12222940981766621, 0.9204921360261146, 0.371152527796465)
3420000, UnitQuaternion angle: 0.8938769129454789 − axis: (-0.1251244157734829, 0.9228984842886125, 0.3641459436477716)
3440000, UnitQuaternion angle: 0.9363234371566614 − axis: (-0.15717708099415567, 0.9120869682819207, 0.37867232206810575)
3460000, UnitQuaternion angle: 0.9296988079212372 − axis: (-0.14712164075117018, 0.904038994694488, 0.4013336752559686)
3480000, UnitQuaternion angle: 0.9518840688697351 − axis: (-0.13142044113860882, 0.9067544172427175, 0.4006558304352417)
3500000, UnitQuaternion angle: 1.0091016975357645 − axis: (-0.13156975386870298, 0.9122127512710602, 0.3880171340101)
3520000, UnitQuaternion angle: 1.0786655961716018 − axis: (-0.13911771869205034, 0.9166556218816218, 0.37468484252600487)
3540000, UnitQuaternion angle: 1.1338459883479883 − axis: (-0.13820838578273933, 0.9204610298203244, 0.3655816388735042)
3560000, UnitQuaternion angle: 1.1792127759349356 − axis: (-0.12871067346693962, 0.9264424125579844, 0.35374852473109836)
3580000, UnitQuaternion angle: 1.2128915938062947 − axis: (-0.11309290372305529, 0.9319990479639096, 0.34436574992564795)
3600000, UnitQuaternion angle: 1.2319127173018039 − axis: (-0.09904917286926762, 0.934601582081644, 0.3416272005042953)
3620000, UnitQuaternion angle: 1.250308276549483 − axis: (-0.08479637557977798, 0.9369843050688013, 0.3389247508566895)
3640000, UnitQuaternion angle: 1.2730865986305722 − axis: (-0.07562852813375617, 0.9402479536411926, 0.3319851072049338)
3660000, UnitQuaternion angle: 1.294787290995151 − axis: (-0.0711993091235918, 0.944972209363151, 0.3193089129849782)
3680000, UnitQuaternion angle: 1.3067627087277502 − axis: (-0.06782750013941913, 0.9498862343729164, 0.305148442522124)
3700000, UnitQuaternion angle: 1.301390112930389 − axis: (-0.05799103036203397, 0.953753435928152, 0.2949430857857054)
3720000, UnitQuaternion angle: 1.2892296902642253 − axis: (-0.03763548385357763, 0.9561749244634985, 0.2903671541037831)
3740000, UnitQuaternion angle: 1.293717227053559 − axis: (-0.026990393930766708, 0.9567664220035764, 0.28960236939972755)
